region,year,average_monthly_wage,birth_rate,captured_pollutants_pct,deaths_per_100k,doctors_per_10k,emissions_thousand_tons,environmental_spending,fresh_water_use,grp_per_capita,hospital_beds_per_10k,investment_per_capita,polluted_wastewater,population,retail_trade,unemployment_pct
Астраханская область,2020,38885.0,11.2,19.3,500.3,64.0,112.0,3368.0,620.0,541099.0,89.3,115116.0,30.0,969.0,174837.0,7.9
Астраханская область,2021,42096.0,11.1,13.9,579.5,61.4,91.0,3391.0,576.0,688988.3,85.4,115484.0,34.0,957.8,194841.0,7.8
Астраханская область,2022,47780.0,10.1,11.8,483.7,64.0,104.0,3861.0,673.0,800575.6,89.3,87352.0,35.0,950.6,208529.0,7.1
Астраханская область,2023,53964.0,9.9,10.9,511.4,59.9,100.0,3883.0,692.0,819951.6,84.0,89373.0,34.0,946.4,221128.0,4.4
Астраханская область,2024,,,,,,,,,,,,,,,2.7
Омская область,2020,37828.0,9.5,90.8,577.9,51.9,147.0,8723.0,180.0,407371.0,82.5,200450.0,126.0,1890.9,355779.0,8.9
Омская область,2021,41152.0,9.3,89.9,644.9,52.0,159.0,8779.0,177.0,426871.8,82.9,191473.0,121.0,1864.8,400794.0,6.5
Омская область,2022,46952.0,8.7,90.7,546.3,51.9,165.0,15176.0,179.0,503176.3,82.5,194431.0,121.0,1841.8,429780.0,5.3
Омская область,2023,55227.0,8.3,90.7,578.1,53.0,159.0,11055.0,176.0,578934.0,82.3,208399.0,124.0,1825.1,480180.0,3.6
Омская область,2024,,,,,,,,,,,,,,,3.0
Татарстан,2020,39761.0,10.3,43.7,477.6,43.2,325.0,27593.0,635.0,658311.7,62.3,615593.0,276.0,3997.0,929099.0,3.6
Татарстан,2021,45800.0,10.3,42.3,526.5,43.1,323.0,24968.0,663.0,883564.0,62.2,689232.0,263.0,3998.9,1086401.0,2.7
Татарстан,2022,52274.0,9.2,37.3,399.8,43.2,320.0,23432.0,642.0,1035953.2,62.3,888649.0,243.0,4000.8,1216319.0,2.3
Татарстан,2023,61894.0,9.1,33.1,423.9,46.0,320.0,35294.0,862.0,1145173.9,61.6,1180448.0,199.0,4002.3,1400328.0,2.1
Татарстан,2024,,,,,,,,,,,,,,,1.8
